IP,Ident,User,Date,Time,Method,Resource,Protocol,Status,Bytes
177.6.142.6,-,-,20/May/2015,13:05:20,GET,/images/jordan-80.png,HTTP/1.1,200,6146
177.6.142.6,-,-,20/May/2015,13:05:41,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
177.6.142.6,-,-,20/May/2015,13:05:11,GET,/favicon.ico,HTTP/1.1,200,3638
66.249.73.135,-,-,20/May/2015,13:05:55,GET,/blog/geekery/mysql-prepare-queries-not-cached.html,HTTP/1.1,200,12484
165.145.12.44,-,-,20/May/2015,13:05:27,GET,/projects/xdotool/xdotool.xhtml,HTTP/1.1,200,50112
165.145.12.44,-,-,20/May/2015,13:05:52,GET,/favicon.ico,HTTP/1.1,200,3638
66.249.73.135,-,-,20/May/2015,13:05:51,GET,/blog/tags/firefox?flav=rss20,HTTP/1.1,200,16021
209.85.238.199,-,-,20/May/2015,13:05:43,GET,/?flav=atom,HTTP/1.1,200,32352
66.249.73.135,-,-,20/May/2015,13:05:58,GET,/?flav=rss20,HTTP/1.1,200,29941
173.192.238.44,-,-,20/May/2015,13:05:48,GET,/blog,HTTP/1.1,200,37936
5.10.83.66,-,-,20/May/2015,13:05:12,GET,/blog/tags/rspec,HTTP/1.1,200,11805
46.161.41.24,-,-,20/May/2015,13:05:00,GET,/images/googledotcom.png,HTTP/1.1,200,65748
66.187.233.202,-,-,20/May/2015,13:05:23,GET,/,HTTP/1.1,200,37932
66.187.233.202,-,-,20/May/2015,13:05:27,GET,/reset.css,HTTP/1.1,200,1015
66.187.233.202,-,-,20/May/2015,13:05:20,GET,/style2.css,HTTP/1.1,200,4877
66.187.233.202,-,-,20/May/2015,13:05:54,GET,/images/jordan-80.png,HTTP/1.1,200,6146
66.187.233.202,-,-,20/May/2015,13:05:22,GET,/favicon.ico,HTTP/1.1,200,3638
66.187.233.202,-,-,20/May/2015,13:05:27,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
66.249.73.135,-,-,20/May/2015,13:05:52,GET,/blog/geekery/non-compiler-caching.html,HTTP/1.1,200,10495
66.249.73.135,-,-,20/May/2015,13:05:38,GET,/?flav=atom,HTTP/1.1,200,32352
46.105.14.53,-,-,20/May/2015,13:05:32,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
91.191.197.87,-,-,20/May/2015,13:05:18,GET,/images/googledotcom.png,HTTP/1.1,200,65748
80.108.184.97,-,-,20/May/2015,13:05:06,GET,/presentations/logstash-scale11x/images/kibana-dashboard.png,HTTP/1.1,200,321631
185.37.161.34,-,-,20/May/2015,13:05:31,GET,/images/googledotcom.png,HTTP/1.1,200,65748
174.26.93.238,-,-,20/May/2015,13:05:50,GET,/articles/dynamic-dns-with-dhcp/,HTTP/1.1,200,18848
174.26.93.238,-,-,20/May/2015,13:05:23,GET,/reset.css,HTTP/1.1,200,1015
174.26.93.238,-,-,20/May/2015,13:05:32,GET,/style2.css,HTTP/1.1,200,4877
174.26.93.238,-,-,20/May/2015,14:05:03,GET,/images/jordan-80.png,HTTP/1.1,200,6146
174.26.93.238,-,-,20/May/2015,14:05:53,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
174.26.93.238,-,-,20/May/2015,14:05:27,GET,/favicon.ico,HTTP/1.1,200,3638
209.85.238.199,-,-,20/May/2015,14:05:34,GET,/?flav=rss20,HTTP/1.1,200,29941
31.6.71.243,-,-,20/May/2015,14:05:30,GET,/presentations/logstash-puppetconf-2012/,HTTP/1.1,200,37269
31.6.71.243,-,-,20/May/2015,14:05:31,GET,/presentations/puppet-at-loggly/puppet-at-loggly.pdf.html,HTTP/1.1,200,24747
128.118.108.67,-,-,20/May/2015,14:05:42,GET,/favicon.ico,HTTP/1.0,200,3638
189.221.118.68,-,-,20/May/2015,14:05:01,GET,/images/googledotcom.png,HTTP/1.1,200,65748
66.249.73.135,-,-,20/May/2015,14:05:38,GET,/blog/geekery/pull-album-covers-from-amazon.html,HTTP/1.1,200,9356
8.35.201.55,-,-,20/May/2015,14:05:42,GET,/projects/xdotool/,HTTP/1.1,200,12292
8.35.201.54,-,-,20/May/2015,14:05:20,GET,/reset.css,HTTP/1.1,200,1015
8.35.201.49,-,-,20/May/2015,14:05:41,GET,/style2.css,HTTP/1.1,200,4877
8.35.201.49,-,-,20/May/2015,14:05:21,GET,/images/jordan-80.png,HTTP/1.1,200,6146
8.35.201.52,-,-,20/May/2015,14:05:39,GET,/images/web/2009/banner.png,HTTP/1.1,200,52315
50.16.19.13,-,-,20/May/2015,14:05:02,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
66.249.73.135,-,-,20/May/2015,14:05:27,GET,/blog/2006?page=4,HTTP/1.1,200,22516
5.10.83.30,-,-,20/May/2015,14:05:51,GET,/articles/efficiency/,HTTP/1.1,200,36398
46.105.14.53,-,-,20/May/2015,14:05:56,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
5.144.176.110,-,-,20/May/2015,14:05:08,GET,/blog/rants/forbes-dot-com-sucks.html,HTTP/1.0,200,9482
5.144.176.110,-,-,20/May/2015,14:05:46,GET,/blog/rants/forbes-dot-com-sucks.html,HTTP/1.0,200,9482
151.235.176.219,-,-,20/May/2015,14:05:58,GET,/images/googledotcom.png,HTTP/1.0,200,65748
66.249.73.135,-,-,20/May/2015,14:05:41,GET,/blog/geekery/python-method-call-wrapper.html,HTTP/1.1,200,11013
74.125.176.144,-,-,20/May/2015,14:05:17,GET,/?flav=rss20,HTTP/1.1,200,29941
46.105.14.53,-,-,20/May/2015,14:05:05,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
200.28.244.131,-,-,20/May/2015,14:05:54,GET,/images/googledotcom.png,HTTP/1.0,200,65748
180.76.6.147,-,-,20/May/2015,14:05:18,GET,/robots.txt,HTTP/1.1,200,-
188.192.27.241,-,-,20/May/2015,14:05:31,GET,/projects/xdotool/,HTTP/1.1,200,12292
66.249.73.135,-,-,20/May/2015,14:05:26,GET,/blog/geekery/rspec-for-nagios-monitoring.html,HTTP/1.1,200,11805
209.85.238.199,-,-,20/May/2015,14:05:09,GET,/blog/tags/firefox?flav=rss20,HTTP/1.1,200,16021
190.1.111.247,-,-,20/May/2015,14:05:24,GET,/favicon.ico,HTTP/1.1,200,3638
66.249.73.135,-,-,20/May/2015,14:05:43,GET,/blog/geekery/screen-solaris-terminfo.html,HTTP/1.1,200,9239
46.105.14.53,-,-,20/May/2015,14:05:08,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
68.180.224.225,-,-,20/May/2015,14:05:19,GET,/blog/rants/blogging-code-of-conduct.html,HTTP/1.1,200,11981
66.249.73.135,-,-,20/May/2015,14:05:04,GET,/blog/tags/antispam,HTTP/1.1,200,9094
208.91.156.11,-,-,20/May/2015,14:05:19,GET,/files/logstash/logstash-1.3.2-monolithic.jar,HTTP/1.1,404,324
128.118.108.67,-,-,20/May/2015,14:05:43,GET,/favicon.ico,HTTP/1.0,200,3638
5.10.83.23,-,-,20/May/2015,14:05:33,GET,/files/blogposts/20071112/?C=M;O=A,HTTP/1.1,200,971
66.249.73.135,-,-,20/May/2015,14:05:22,GET,/blog/geekery/session-balancing-across-tomcats-with-apache.html,HTTP/1.1,200,12375
81.190.174.219,-,-,20/May/2015,14:05:32,GET,/favicon.ico,HTTP/1.1,200,3638
50.16.19.13,-,-,20/May/2015,14:05:46,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
46.105.14.53,-,-,20/May/2015,14:05:10,GET,/blog/tags/puppet?flav=rss20,HTTP/1.1,200,14872
5.10.83.98,-,-,20/May/2015,14:05:49,GET,/files/xpathtool/?C=M;O=A,HTTP/1.1,200,1677
5.10.83.23,-,-,20/May/2015,14:05:11,GET,/files/blogposts/20071210/?C=S;O=A,HTTP/1.1,200,969
157.127.239.146,-,-,20/May/2015,14:05:51,GET,/articles/dynamic-dns-with-dhcp/,HTTP/1.1,200,18848
157.127.239.146,-,-,20/May/2015,14:05:34,GET,/reset.css,HTTP/1.1,200,1015
157.127.239.146,-,-,20/May/2015,14:05:31,GET,/favicon.ico,HTTP/1.1,200,3638
157.127.239.146,-,-,20/May/2015,14:05:10,GET,/style2.css,HTTP/1.1,200,4877
157.127.239.146,-,-,20/May/2015,14:05:18,GET,/images/jordan-80.png,HTTP/1.1,200,6146
